"empty_column","background","disable_garbage_collection","color_backend","datetime","count_new_repeat_cycle","checkbox_status","time_new_repeat_cycle","count_Visual_Loop","response_time_image1","logfile","form_response","sound_channels","title","opensesame_codename","coordinates","count_Instr_Spatial","sampler_backend","correct_Instr_Visual","time_Instr_Control","time_Remerciements","time_Instr_Visual","question1","question3","question2","time_experiment","time_Test_chiffres","time_Instructions","time_Spatial","correct","count_Instructions","count_experiment","time_Instr_Verbal","time_new_form_consent","average_response_time","subject_parity","good_same_count","time_getting_started","count_new_form_multiple_choice","count_getting_started","uniform_coordinates","fullscreen","response_Instr_Control","my_condition","clock_backend","experiment_path","response_time_Instr_Visual","sound_sample_size","font_family","count_Chiffres_Loop","foreground","time_Control_Loop","sexe","time_Spatial_Loop","response_time_Instr_Control","count_Controle","font_underline","count_Trials","response_time_Instr_Verbal","key","response_Instr_Verbal","response_time","time_Controle","acc","canvas_backend","trial","count_Spatial_Loop","time_Trials","form_var","time_Verbal","time_Subject_data","experiment_file","form_clicks","count_Visual","avg_rt","time_Chiffres_Loop","time_new_form_multiple_choice","time_Visual","count_Audio_Loop","width","bad_same_count","response_time_Instructions","start","count_new_form_base","font_bold","sound_freq","response_Instructions","response_Remerciements","count_Spatial","count_Instr_Verbal","count_Verbal","response_Instr_Spatial","round_decimals","accept_status","opensesame_version","keyboard_backend","compensation","total_response_time","ms","count_Control_Loop","mouse_backend","response_time_Instr_Spatial","count_Instr_Visual","sound_buf_size","font_italic","time_new_form_base","time_image1","time_Instr_Spatial","count_Test_chiffres","same","delay","count_new_form_consent","response_image1","count_Instr_Control","accuracy","total_responses","description","time_Init_condition","response_Instr_Visual","total_correct","subject_nr","response_time_Remerciements","key_time","response","count_image1","answers_count_good","font_size","age","answers_count_bad","count_Remerciements","height","time_Audio_Loop","count_Subject_data","count_Init_condition","time_Visual_Loop"
"NA","black","yes","legacy","09/18/18 11:01:43","NA","NA","NA","0","NA","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task/subject-100.csv","Valider","2","Nouvelle expérience","Kafkaesque Koffka","uniform","0","legacy","undefined","NA","NA","20169","NA","NA","NA","3337","20150","NA","NA","undefined","0","0","NA","NA","undefined","even","0","NA","NA","NA","yes","yes","NA","Visuel","legacy","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task","5037","-16","mono","0","white","NA","2","NA","NA","0","no","NA","NA","NA","NA","5037","NA","undefined","legacy","yes","0","NA","NA","NA","3340","VisualTask.osexp","no","0","undefined","NA","NA","20166","0","1024","0","NA","experiment","NA","no","48000","NA","NA","0","0","0","NA","2","NA","3.2.5","legacy","0","0","0","0","legacy","NA","0","1024","no","NA","NA","NA","0","no","0","NA","NA","0","undefined","0","The main experiment item","13450","space","0","100","NA","NA","space","NA","0","18","47","0","0","768","NA","0","0","25206"
"NA","black","yes","legacy","09/18/18 11:01:43","NA","NA","NA","0","NA","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task/subject-100.csv","Valider","2","Nouvelle expérience","Kafkaesque Koffka","uniform","0","legacy","undefined","NA","NA","20169","NA","NA","NA","3337","20150","NA","NA","undefined","0","0","NA","NA","undefined","even","0","NA","NA","NA","yes","yes","NA","Visuel","legacy","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task","5037","-16","mono","0","white","NA","2","NA","NA","0","no","NA","NA","space","NA","5037","NA","undefined","legacy","yes","0","NA","NA","NA","3340","VisualTask.osexp","no","0","undefined","NA","NA","20166","0","1024","0","NA","experiment","NA","no","48000","NA","NA","0","0","0","NA","2","NA","3.2.5","legacy","0","0","29543","0","legacy","NA","0","1024","no","NA","NA","NA","0","no","24981","NA","NA","0","undefined","0","The main experiment item","13450","space","0","100","NA","59394","space","NA","0","18","47","1","0","768","NA","0","0","25206"
"NA","black","yes","legacy","09/18/18 11:01:43","NA","NA","NA","0","NA","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task/subject-100.csv","Valider","2","Nouvelle expérience","Kafkaesque Koffka","uniform","0","legacy","undefined","NA","NA","20169","NA","NA","NA","3337","20150","NA","NA","undefined","0","0","NA","NA","undefined","even","1","NA","NA","NA","yes","yes","NA","Visuel","legacy","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task","5037","-16","mono","0","white","NA","2","NA","NA","0","no","NA","NA","space","NA","5037","NA","undefined","legacy","yes","0","NA","NA","NA","3340","VisualTask.osexp","no","0","undefined","NA","NA","20166","0","1024","0","NA","experiment","NA","no","48000","NA","NA","0","0","0","NA","2","NA","3.2.5","legacy","0","0","56087","0","legacy","NA","0","1024","no","NA","NA","NA","0","yes","20878","NA","NA","0","undefined","0","The main experiment item","13450","space","0","100","NA","86351","space","NA","1","18","47","1","0","768","NA","0","0","25206"
"NA","black","yes","legacy","09/18/18 11:01:43","NA","NA","NA","0","NA","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task/subject-100.csv","Valider","2","Nouvelle expérience","Kafkaesque Koffka","uniform","0","legacy","undefined","NA","NA","20169","NA","NA","NA","3337","20150","NA","NA","undefined","0","0","NA","NA","undefined","even","2","NA","NA","NA","yes","yes","NA","Visuel","legacy","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task","5037","-16","mono","0","white","NA","2","NA","NA","0","no","NA","NA","space","NA","5037","NA","undefined","legacy","yes","0","NA","NA","NA","3340","VisualTask.osexp","no","0","undefined","NA","NA","20166","0","1024","0","NA","experiment","NA","no","48000","NA","NA","0","0","0","NA","2","NA","3.2.5","legacy","0","0","86628","0","legacy","NA","0","1024","no","NA","NA","NA","0","yes","24461","NA","NA","0","undefined","0","The main experiment item","13450","space","0","100","NA","117690","space","NA","2","18","47","1","0","768","NA","0","0","25206"
"NA","black","yes","legacy","09/18/18 11:01:43","NA","NA","NA","0","NA","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task/subject-100.csv","Valider","2","Nouvelle expérience","Kafkaesque Koffka","uniform","0","legacy","undefined","NA","NA","20169","NA","NA","NA","3337","20150","NA","NA","undefined","0","0","NA","NA","undefined","even","2","NA","NA","NA","yes","yes","NA","Visuel","legacy","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task","5037","-16","mono","0","white","NA","2","NA","NA","0","no","NA","NA","None","NA","5037","NA","undefined","legacy","yes","0","NA","NA","NA","3340","VisualTask.osexp","no","0","undefined","NA","NA","20166","0","1024","0","NA","experiment","NA","no","48000","NA","NA","0","0","0","NA","2","NA","3.2.5","legacy","0","0","111187","0","legacy","NA","0","1024","no","NA","NA","NA","0","no","17689","NA","NA","0","undefined","0","The main experiment item","13450","space","0","100","NA","145922","space","NA","3","18","47","1","0","768","NA","0","0","25206"
"NA","black","yes","legacy","09/18/18 11:01:43","NA","NA","NA","0","NA","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task/subject-100.csv","Valider","2","Nouvelle expérience","Kafkaesque Koffka","uniform","0","legacy","undefined","NA","NA","20169","NA","NA","NA","3337","20150","NA","NA","undefined","0","0","NA","NA","undefined","even","2","NA","NA","NA","yes","yes","NA","Visuel","legacy","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task","5037","-16","mono","0","white","NA","2","NA","NA","0","no","NA","NA","None","NA","5037","NA","undefined","legacy","yes","0","NA","NA","NA","3340","VisualTask.osexp","no","0","undefined","NA","NA","20166","0","1024","0","NA","experiment","NA","no","48000","NA","NA","0","0","0","NA","2","NA","3.2.5","legacy","0","0","137716","0","legacy","NA","0","1024","no","NA","NA","NA","0","no","15990","NA","NA","0","undefined","0","The main experiment item","13450","space","0","100","NA","172443","space","NA","4","18","47","1","0","768","NA","0","0","25206"
"NA","black","yes","legacy","09/18/18 11:01:43","NA","NA","NA","0","NA","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task/subject-100.csv","Valider","2","Nouvelle expérience","Kafkaesque Koffka","uniform","0","legacy","undefined","NA","NA","20169","NA","NA","NA","3337","20150","NA","NA","undefined","0","0","NA","NA","undefined","even","2","NA","NA","NA","yes","yes","NA","Visuel","legacy","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task","5037","-16","mono","0","white","NA","2","NA","NA","0","no","NA","NA","None","NA","5037","NA","undefined","legacy","yes","0","NA","NA","NA","3340","VisualTask.osexp","no","0","undefined","NA","NA","20166","0","1024","0","NA","experiment","NA","no","48000","NA","NA","0","0","0","NA","2","NA","3.2.5","legacy","0","0","167237","0","legacy","NA","0","1024","no","NA","NA","NA","0","no","18991","NA","NA","0","undefined","0","The main experiment item","13450","space","0","100","NA","201963","space","NA","5","18","47","1","0","768","NA","0","0","25206"
"NA","black","yes","legacy","09/18/18 11:01:43","NA","NA","NA","0","NA","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task/subject-100.csv","Valider","2","Nouvelle expérience","Kafkaesque Koffka","uniform","0","legacy","undefined","NA","NA","20169","NA","NA","NA","3337","20150","NA","NA","undefined","0","0","NA","NA","undefined","even","2","NA","NA","NA","yes","yes","NA","Visuel","legacy","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task","5037","-16","mono","0","white","NA","2","NA","NA","0","no","NA","NA","None","NA","5037","NA","undefined","legacy","yes","0","NA","NA","NA","3340","VisualTask.osexp","no","0","undefined","NA","NA","20166","0","1024","0","NA","experiment","NA","no","48000","NA","NA","0","0","0","NA","2","NA","3.2.5","legacy","0","0","194757","0","legacy","NA","0","1024","no","NA","NA","NA","0","no","16991","NA","NA","0","undefined","0","The main experiment item","13450","space","0","100","NA","229508","space","NA","6","18","47","1","0","768","NA","0","0","25206"
"NA","black","yes","legacy","09/18/18 11:01:43","NA","NA","NA","0","NA","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task/subject-100.csv","Valider","2","Nouvelle expérience","Kafkaesque Koffka","uniform","0","legacy","undefined","NA","NA","20169","NA","NA","NA","3337","20150","NA","NA","undefined","0","0","NA","NA","undefined","even","2","NA","NA","NA","yes","yes","NA","Visuel","legacy","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task","5037","-16","mono","0","white","NA","2","NA","NA","0","no","NA","NA","None","NA","5037","NA","undefined","legacy","yes","0","NA","NA","NA","3340","VisualTask.osexp","no","0","undefined","NA","NA","20166","0","1024","1","NA","experiment","NA","no","48000","NA","NA","0","0","0","NA","2","NA","3.2.5","legacy","0","0","220302","0","legacy","NA","0","1024","no","NA","NA","NA","0","yes","14982","NA","NA","0","undefined","0","The main experiment item","13450","space","0","100","NA","255049","space","NA","6","18","47","2","0","768","NA","0","0","25206"
"NA","black","yes","legacy","09/18/18 11:01:43","NA","NA","NA","0","NA","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task/subject-100.csv","Valider","2","Nouvelle expérience","Kafkaesque Koffka","uniform","0","legacy","undefined","NA","NA","20169","NA","NA","NA","3337","20150","NA","NA","undefined","0","0","NA","NA","undefined","even","2","NA","NA","NA","yes","yes","NA","Visuel","legacy","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task","5037","-16","mono","0","white","NA","2","NA","NA","0","no","NA","NA","None","NA","5037","NA","undefined","legacy","yes","0","NA","NA","NA","3340","VisualTask.osexp","no","0","undefined","NA","NA","20166","0","1024","1","NA","experiment","NA","no","48000","NA","NA","0","0","0","NA","2","NA","3.2.5","legacy","0","0","249844","0","legacy","NA","0","1024","no","NA","NA","NA","0","no","18984","NA","NA","0","undefined","0","The main experiment item","13450","space","0","100","NA","284604","space","NA","7","18","47","2","0","768","NA","0","0","25206"
"NA","black","yes","legacy","09/18/18 11:01:43","NA","NA","NA","0","NA","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task/subject-100.csv","Valider","2","Nouvelle expérience","Kafkaesque Koffka","uniform","0","legacy","undefined","NA","NA","20169","NA","NA","NA","3337","20150","NA","NA","undefined","0","0","NA","NA","undefined","even","2","NA","NA","NA","yes","yes","NA","Visuel","legacy","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task","5037","-16","mono","0","white","NA","2","NA","NA","0","no","NA","NA","None","NA","5037","NA","undefined","legacy","yes","0","NA","NA","NA","3340","VisualTask.osexp","no","0","undefined","NA","NA","20166","0","1024","1","NA","experiment","NA","no","48000","NA","NA","0","0","0","NA","2","NA","3.2.5","legacy","0","0","278400","0","legacy","NA","0","1024","no","NA","NA","NA","0","no","17980","NA","NA","0","undefined","0","The main experiment item","13450","space","0","100","NA","313173","space","NA","8","18","47","2","0","768","NA","0","0","25206"
"NA","black","yes","legacy","09/18/18 11:01:43","NA","NA","NA","0","NA","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task/subject-100.csv","Valider","2","Nouvelle expérience","Kafkaesque Koffka","uniform","0","legacy","undefined","NA","NA","20169","NA","NA","NA","3337","20150","NA","NA","undefined","0","0","NA","NA","undefined","even","2","NA","NA","NA","yes","yes","NA","Visuel","legacy","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task","5037","-16","mono","0","white","NA","2","NA","NA","0","no","NA","NA","None","NA","5037","NA","undefined","legacy","yes","0","NA","NA","NA","3340","VisualTask.osexp","no","0","undefined","NA","NA","20166","0","1024","1","NA","experiment","NA","no","48000","NA","NA","0","0","0","NA","2","NA","3.2.5","legacy","0","0","308968","0","legacy","NA","0","1024","no","NA","NA","NA","0","no","19980","NA","NA","0","undefined","0","The main experiment item","13450","space","0","100","NA","343728","space","NA","9","18","47","2","0","768","NA","0","0","25206"
"NA","black","yes","legacy","09/18/18 11:01:43","NA","NA","NA","0","NA","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task/subject-100.csv","Valider","2","Nouvelle expérience","Kafkaesque Koffka","uniform","0","legacy","undefined","NA","NA","20169","NA","NA","NA","3337","20150","NA","NA","undefined","0","0","NA","NA","undefined","even","3","NA","NA","NA","yes","yes","NA","Visuel","legacy","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task","5037","-16","mono","0","white","NA","2","NA","NA","0","no","NA","NA","space","NA","5037","NA","undefined","legacy","yes","0","NA","NA","NA","3340","VisualTask.osexp","no","0","undefined","NA","NA","20166","0","1024","1","NA","experiment","NA","no","48000","NA","NA","0","0","0","NA","2","NA","3.2.5","legacy","0","0","338523","0","legacy","NA","0","1024","no","NA","NA","NA","0","yes","18985","NA","NA","0","undefined","0","The main experiment item","13450","space","0","100","NA","368439","space","NA","10","18","47","2","0","768","NA","0","0","25206"
"NA","black","yes","legacy","09/18/18 11:01:43","NA","NA","NA","0","NA","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task/subject-100.csv","Valider","2","Nouvelle expérience","Kafkaesque Koffka","uniform","0","legacy","undefined","NA","NA","20169","NA","NA","NA","3337","20150","NA","NA","undefined","0","0","NA","NA","undefined","even","3","NA","NA","NA","yes","yes","NA","Visuel","legacy","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task","5037","-16","mono","0","white","NA","2","NA","NA","0","no","NA","NA","None","NA","5037","NA","undefined","legacy","yes","0","NA","NA","NA","3340","VisualTask.osexp","no","0","undefined","NA","NA","20166","0","1024","1","NA","experiment","NA","no","48000","NA","NA","0","0","0","NA","2","NA","3.2.5","legacy","0","0","369078","0","legacy","NA","0","1024","no","NA","NA","NA","0","no","24823","NA","NA","0","undefined","0","The main experiment item","13450","space","0","100","NA","403840","space","NA","11","18","47","2","0","768","NA","0","0","25206"
"NA","black","yes","legacy","09/18/18 11:01:43","NA","NA","NA","0","NA","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task/subject-100.csv","Valider","2","Nouvelle expérience","Kafkaesque Koffka","uniform","0","legacy","undefined","NA","NA","20169","NA","NA","NA","3337","20150","NA","NA","undefined","0","0","NA","NA","undefined","even","3","NA","NA","NA","yes","yes","NA","Visuel","legacy","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task","5037","-16","mono","0","white","NA","2","NA","NA","0","no","NA","NA","None","NA","5037","NA","undefined","legacy","yes","0","NA","NA","NA","3340","VisualTask.osexp","no","0","undefined","NA","NA","20166","0","1024","2","NA","experiment","NA","no","48000","NA","NA","0","0","0","NA","2","NA","3.2.5","legacy","0","0","394633","0","legacy","NA","0","1024","no","NA","NA","NA","0","yes","14978","NA","NA","0","undefined","0","The main experiment item","13450","space","0","100","NA","429388","space","NA","11","18","47","3","0","768","NA","0","0","25206"
"NA","black","yes","legacy","09/18/18 11:01:43","NA","NA","NA","0","NA","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task/subject-100.csv","Valider","2","Nouvelle expérience","Kafkaesque Koffka","uniform","0","legacy","undefined","NA","NA","20169","NA","NA","NA","3337","20150","NA","NA","undefined","0","0","NA","NA","undefined","even","3","NA","NA","NA","yes","yes","NA","Visuel","legacy","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task","5037","-16","mono","0","white","NA","2","NA","NA","0","no","NA","NA","None","NA","5037","NA","undefined","legacy","yes","0","NA","NA","NA","3340","VisualTask.osexp","no","0","undefined","NA","NA","20166","0","1024","2","NA","experiment","NA","no","48000","NA","NA","0","0","0","NA","2","NA","3.2.5","legacy","0","0","426183","0","legacy","NA","0","1024","no","NA","NA","NA","0","no","20980","NA","NA","0","undefined","0","The main experiment item","13450","space","0","100","NA","460938","space","NA","12","18","47","3","0","768","NA","0","0","25206"
"NA","black","yes","legacy","09/18/18 11:01:43","NA","NA","NA","0","NA","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task/subject-100.csv","Valider","2","Nouvelle expérience","Kafkaesque Koffka","uniform","0","legacy","undefined","NA","NA","20169","NA","NA","NA","3337","20150","NA","NA","undefined","0","0","NA","NA","undefined","even","3","NA","NA","NA","yes","yes","NA","Visuel","legacy","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task","5037","-16","mono","0","white","NA","2","NA","NA","0","no","NA","NA","None","NA","5037","NA","undefined","legacy","yes","0","NA","NA","NA","3340","VisualTask.osexp","no","0","undefined","NA","NA","20166","0","1024","2","NA","experiment","NA","no","48000","NA","NA","0","0","0","NA","2","NA","3.2.5","legacy","0","0","453733","0","legacy","NA","0","1024","no","NA","NA","NA","0","no","16980","NA","NA","0","undefined","0","The main experiment item","13450","space","0","100","NA","488492","space","NA","13","18","47","3","0","768","NA","0","0","25206"
"NA","black","yes","legacy","09/18/18 11:01:43","NA","NA","NA","0","NA","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task/subject-100.csv","Valider","2","Nouvelle expérience","Kafkaesque Koffka","uniform","0","legacy","undefined","NA","NA","20169","NA","NA","NA","3337","20150","NA","NA","undefined","0","0","NA","NA","undefined","even","3","NA","NA","NA","yes","yes","NA","Visuel","legacy","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task","5037","-16","mono","0","white","NA","2","NA","NA","0","no","NA","NA","space","NA","5037","NA","undefined","legacy","yes","0","NA","NA","NA","3340","VisualTask.osexp","no","0","undefined","NA","NA","20166","0","1024","2","NA","experiment","NA","no","48000","NA","NA","0","0","0","NA","2","NA","3.2.5","legacy","0","0","484287","0","legacy","NA","0","1024","no","NA","NA","NA","0","no","19981","NA","NA","0","undefined","0","The main experiment item","13450","space","0","100","NA","514735","space","NA","13","18","47","4","0","768","NA","0","0","25206"
"NA","black","yes","legacy","09/18/18 11:01:43","NA","NA","NA","0","NA","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task/subject-100.csv","Valider","2","Nouvelle expérience","Kafkaesque Koffka","uniform","0","legacy","undefined","NA","NA","20169","NA","NA","NA","3337","20150","NA","NA","undefined","0","0","NA","NA","undefined","even","3","NA","NA","NA","yes","yes","NA","Visuel","legacy","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task","5037","-16","mono","0","white","NA","2","NA","NA","0","no","NA","NA","None","NA","5037","NA","undefined","legacy","yes","0","NA","NA","NA","3340","VisualTask.osexp","no","0","undefined","NA","NA","20166","0","1024","2","NA","experiment","NA","no","48000","NA","NA","0","0","0","NA","2","NA","3.2.5","legacy","0","0","511841","0","legacy","NA","0","1024","no","NA","NA","NA","0","no","21300","NA","NA","0","undefined","0","The main experiment item","13450","space","0","100","NA","546600","space","NA","14","18","47","4","0","768","NA","0","0","25206"
"NA","black","yes","legacy","09/18/18 11:01:43","NA","NA","NA","0","NA","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task/subject-100.csv","Valider","2","Nouvelle expérience","Kafkaesque Koffka","uniform","0","legacy","undefined","NA","NA","20169","NA","NA","NA","3337","20150","NA","NA","undefined","0","0","NA","NA","undefined","even","3","NA","NA","NA","yes","yes","NA","Visuel","legacy","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task","5037","-16","mono","0","white","NA","2","NA","NA","0","no","NA","NA","None","NA","5037","NA","undefined","legacy","yes","0","NA","NA","NA","3340","VisualTask.osexp","no","0","undefined","NA","NA","20166","0","1024","2","NA","experiment","NA","no","48000","NA","NA","0","0","0","NA","2","NA","3.2.5","legacy","0","0","538393","0","legacy","NA","0","1024","no","NA","NA","NA","0","no","15980","NA","NA","0","undefined","0","The main experiment item","13450","space","0","100","NA","573147","space","NA","15","18","47","4","0","768","NA","0","0","25206"
"NA","black","yes","legacy","09/18/18 11:01:43","NA","NA","NA","0","NA","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task/subject-100.csv","Valider","2","Nouvelle expérience","Kafkaesque Koffka","uniform","0","legacy","undefined","NA","NA","20169","NA","NA","NA","3337","20150","NA","NA","undefined","0","0","NA","NA","undefined","even","3","NA","NA","NA","yes","yes","NA","Visuel","legacy","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task","5037","-16","mono","0","white","NA","2","NA","NA","0","no","NA","NA","None","NA","5037","NA","undefined","legacy","yes","0","NA","NA","NA","3340","VisualTask.osexp","no","0","undefined","NA","NA","20166","0","1024","2","NA","experiment","NA","no","48000","NA","NA","0","0","0","NA","2","NA","3.2.5","legacy","0","0","569941","0","legacy","NA","0","1024","no","NA","NA","NA","0","no","20981","NA","NA","0","undefined","0","The main experiment item","13450","space","0","100","NA","604691","space","NA","16","18","47","4","0","768","NA","0","0","25206"
"NA","black","yes","legacy","09/18/18 11:01:43","NA","NA","NA","0","NA","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task/subject-100.csv","Valider","2","Nouvelle expérience","Kafkaesque Koffka","uniform","0","legacy","undefined","NA","NA","20169","NA","NA","NA","3337","20150","NA","NA","undefined","0","0","NA","NA","undefined","even","3","NA","NA","NA","yes","yes","NA","Visuel","legacy","C:/Users/fmail/Dropbox/Fac/Thesis/Expe/OS-Dble-Task","5037","-16","mono","0","white","NA","2","NA","NA","0","no","NA","NA","None","NA","5037","NA","undefined","legacy","yes","0","NA","NA","NA","3340","VisualTask.osexp","no","0","undefined","NA","NA","20166","0","1024","2","NA","experiment","NA","no","48000","NA","NA","0","0","0","NA","2","NA","3.2.5","legacy","0","0","597485","0","legacy","NA","0","1024","no","NA","NA","NA","0","no","16982","NA","NA","0","undefined","0","The main experiment item","13450","space","0","100","NA","632235","space","NA","17","18","47","4","0","768","NA","0","0","25206"
